"Part";"Value";"Device";"Package";"Description";"";
"JP1";"";"PINHD-2X6";"2X06";"PIN HEADER";"";
"LED1";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED2";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED3";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED4";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED5";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED6";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED7";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED8";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED9";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED10";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED11";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED12";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED13";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED14";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED15";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED16";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED17";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED18";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED19";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED20";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED21";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED22";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED23";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED24";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED25";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED26";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED27";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED28";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED29";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED30";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED31";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED32";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED33";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED34";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED35";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED36";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED37";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED38";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED39";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED40";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED41";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED42";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED43";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED44";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED45";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED46";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED47";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED48";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED49";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
